Sample,Gate,X Parameter,X Median
35,singlets,FSC-A,616633
35,All Events,FSC-A,927444
35,cells,FSC-A,618911
35,All Events,PHO5pr-mCherry-A,14874
35,singlets,PHO5pr-mCherry-A,9526
35,All Events,FSC-A,927444
35,All Events,FSC-A,927444
35,All Events,chimera-GFP-A,5233
35,singlets,chimera-GFP-A,3471
35,All Events,chimera-GFP-H,4463
36,cells,FSC-A,617574
36,All Events,FSC-A,950364
36,singlets,FSC-A,614229
36,All Events,FSC-A,950364
36,cells,FSC-A,617574
36,All Events,PHO5pr-mCherry-A,15784
36,singlets,PHO5pr-mCherry-A,9888
36,All Events,FSC-A,950364
36,All Events,FSC-A,950364
36,All Events,chimera-GFP-A,5380
36,singlets,chimera-GFP-A,3458
36,All Events,chimera-GFP-H,4575
Parent-yH295,cells,FSC-A,588350
Parent-yH295,All Events,FSC-A,869583
Parent-yH295,singlets,FSC-A,587153
Parent-yH295,All Events,FSC-A,869583
Parent-yH295,cells,FSC-A,588350
Parent-yH295,All Events,PHO5pr-mCherry-A,1471
Parent-yH295,singlets,PHO5pr-mCherry-A,946
Parent-yH295,All Events,FSC-A,869583
Parent-yH295,All Events,FSC-A,869583
Parent-yH295,All Events,chimera-GFP-A,1554
Parent-yH295,singlets,chimera-GFP-A,1032
Parent-yH295,All Events,chimera-GFP-H,1332
Parent-yH296,cells,FSC-A,646449
Parent-yH296,All Events,FSC-A,904319
Parent-yH296,singlets,FSC-A,644118
Parent-yH296,All Events,FSC-A,904319
Parent-yH296,cells,FSC-A,646449
Parent-yH296,All Events,PHO5pr-mCherry-A,1082
Parent-yH296,singlets,PHO5pr-mCherry-A,700
Parent-yH296,All Events,FSC-A,904319
Parent-yH296,All Events,FSC-A,904319
Parent-yH296,All Events,chimera-GFP-A,1440
Parent-yH296,singlets,chimera-GFP-A,972
Parent-yH296,All Events,chimera-GFP-H,1214
A3-1-yH295-pH179,cells,FSC-A,543010
A3-1-yH295-pH179,All Events,FSC-A,864334
A3-1-yH295-pH179,singlets,FSC-A,539058
A3-1-yH295-pH179,All Events,FSC-A,864334
A3-1-yH295-pH179,cells,FSC-A,543010
A3-1-yH295-pH179,All Events,PHO5pr-mCherry-A,14438
A3-1-yH295-pH179,singlets,PHO5pr-mCherry-A,9032
A3-1-yH295-pH179,All Events,FSC-A,864334
A3-1-yH295-pH179,All Events,FSC-A,864334
A3-1-yH295-pH179,All Events,chimera-GFP-A,6296
A3-1-yH295-pH179,singlets,chimera-GFP-A,3906
A3-1-yH295-pH179,All Events,chimera-GFP-H,5259
A3-2,cells,FSC-A,512858
A3-2,All Events,FSC-A,871292
A3-2,singlets,FSC-A,509161
A3-2,All Events,FSC-A,871292
A3-2,cells,FSC-A,512858
A3-2,All Events,PHO5pr-mCherry-A,11379
A3-2,singlets,PHO5pr-mCherry-A,6183
A3-2,All Events,FSC-A,871292
A3-2,All Events,FSC-A,871292
A3-2,All Events,chimera-GFP-A,5601
